,default,student,balance,income
160,No,No,703.22689,57679.279
161,No,Yes,1360.80044,18864.308
162,No,No,31.44508,53287.35
163,No,No,988.21446,48570.363
164,No,No,360.01907,23927.547
165,No,No,647.48353,33226.278
166,No,Yes,0,9816.789
167,No,No,445.24182,31974.625
168,No,Yes,878.54206,17496.741
169,No,Yes,335.83412,21759.87
170,No,No,666.60888,30438.469
171,No,No,813.87665,40737.46
172,No,No,836.30007,54607.179
173,No,No,967.48268,33055.11
174,Yes,Yes,2205.79952,14271.492
175,No,Yes,1258.18522,11672.222
176,No,No,1239.8017,40107.172
177,No,Yes,0,13760.298
178,No,Yes,927.88773,22473.38
179,No,Yes,1390.03078,21299.099
180,No,No,410.4977,53471.214
181,No,No,73.07654,30681.738
182,No,No,790.59776,45303.103
183,No,No,789.4951,32579.9
184,No,No,791.36042,46319.236
185,No,No,479.04238,37255.88
186,No,No,888.61327,28899.792
187,No,No,1284.38636,42831.955
188,No,Yes,712.27635,23341.95
189,No,Yes,1290.62017,18408.049
190,No,No,126.36269,44280.93
191,No,No,779.37626,61158.885
192,No,No,697.49096,49476.76
193,No,No,606.97461,43610.033
194,No,Yes,1802.90333,21411.424
195,No,No,900.08533,41276.563
196,No,No,966.28029,33440.979
197,No,No,671.06136,35689.112
198,No,No,171.55912,23505.993
199,No,No,1482.4803,45260.612
200,No,No,640.66275,46464.566
201,No,Yes,706.16103,18078.352
202,Yes,Yes,1774.69422,20359.506
203,No,No,916.49932,25768.407
204,No,No,1271.27081,36053.503
205,No,No,110.57291,47339.109
206,No,No,1747.25888,37819.289
207,Yes,No,1889.59919,48956.172
208,No,No,27.20139,21051.84
209,No,No,746.22978,35159.85
210,Yes,Yes,1899.39063,20655.2
211,No,Yes,813.99457,20391.529
212,No,No,499.45782,38899.16
213,No,No,853.16133,36272.452
214,No,No,474.72732,32064.335
215,No,No,1235.87611,35838.777
216,No,No,620.67515,44213.77
217,No,No,220.02857,37880.03
218,No,Yes,1304.9143,18074.075
219,No,Yes,1608.15256,22358.047
220,No,No,256.47123,37657.056
221,No,Yes,1153.605,19224.975
222,No,No,771.89587,31170.085
223,No,Yes,1099.63042,17064.043
224,No,No,782.88303,40357.133
225,No,No,444.26491,35924.339
226,No,No,504.02838,24780.961
227,No,No,1762.5034,42124.66
228,No,Yes,850.09612,18618.988
229,No,No,1412.23872,40785.06
230,No,No,715.49683,47482.565
231,No,No,1363.5286,55713.042
232,No,No,493.24189,42495.203
233,No,No,1354.75254,33375.132
234,No,Yes,571.29391,15416.269
235,No,No,956.15135,44086.708
236,No,No,964.82025,34390.746
237,No,No,552.63437,50513.164
238,No,No,338.2662,37767.24
239,No,No,709.12335,44041.63
240,No,No,978.9782,57839.054
241,No,No,371.01013,15702.707
242,Yes,Yes,1572.85648,14930.178
243,No,No,0,40150.218
244,Yes,No,1964.47687,39054.589
245,No,No,548.03778,33605.649
246,No,No,1257.05522,34045.009
247,No,No,1189.91806,38016.894
248,No,No,687.68376,39373.58
249,No,No,845.69897,39899.513
250,No,Yes,957.68483,19676.346
